,precision,recall,f1-score,support
Apple___Apple_scab,0.9547325102880658,0.9206349206349206,0.9373737373737374,504.0
Apple___Black_rot,0.9775051124744376,0.9617706237424547,0.9695740365111561,497.0
Apple___Cedar_apple_rust,0.9975550122249389,0.9272727272727272,0.9611307420494699,440.0
Apple___healthy,0.9910714285714286,0.8844621513944223,0.9347368421052632,502.0
Blueberry___healthy,0.9503239740820735,0.9691629955947136,0.9596510359869138,454.0
Cherry_(including_sour)___Powdery_mildew,0.9904761904761905,0.9881235154394299,0.9892984542211652,421.0
Cherry_(including_sour)___healthy,0.984304932735426,0.9627192982456141,0.9733924611973392,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9507772020725389,0.8951219512195122,0.9221105527638191,410.0
Corn_(maize)___Common_rust_,0.9895833333333334,0.9958071278825996,0.9926854754440961,477.0
Corn_(maize)___Northern_Leaf_Blight,0.9397089397089398,0.9475890985324947,0.9436325678496869,477.0
Corn_(maize)___healthy,0.9956521739130435,0.9849462365591398,0.9902702702702703,465.0
Grape___Black_rot,0.9452332657200812,0.9872881355932204,0.9658031088082901,472.0
Grape___Esca_(Black_Measles),0.9871244635193133,0.9583333333333334,0.9725158562367865,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9930232558139535,0.9964994165694282,430.0
Grape___healthy,0.9927184466019418,0.966903073286052,0.9796407185628743,423.0
Orange___Haunglongbing_(Citrus_greening),0.9684418145956607,0.9761431411530815,0.9722772277227723,503.0
Peach___Bacterial_spot,0.9297872340425531,0.9520697167755992,0.9407965554359526,459.0
Peach___healthy,0.9929078014184397,0.9722222222222222,0.9824561403508771,432.0
"Pepper,_bell___Bacterial_spot",0.9648033126293996,0.9748953974895398,0.9698231009365245,478.0
"Pepper,_bell___healthy",0.920303605313093,0.9758551307847082,0.947265625,497.0
Potato___Early_blight,0.9855371900826446,0.9835051546391752,0.9845201238390093,485.0
Potato___Late_blight,0.9434343434343434,0.9628865979381444,0.9530612244897959,485.0
Potato___healthy,0.9237113402061856,0.9824561403508771,0.9521785334750266,456.0
Raspberry___healthy,0.9778270509977827,0.9910112359550561,0.984375,445.0
Soybean___healthy,0.9710144927536232,0.9287128712871288,0.9493927125506073,505.0
Squash___Powdery_mildew,0.9708520179372198,0.9976958525345622,0.9840909090909091,434.0
Strawberry___Leaf_scorch,0.9819819819819819,0.9819819819819819,0.9819819819819819,444.0
Strawberry___healthy,0.9891304347826086,0.9978070175438597,0.9934497816593887,456.0
Tomato___Bacterial_spot,0.9406175771971497,0.9317647058823529,0.9361702127659575,425.0
Tomato___Early_blight,0.8851485148514852,0.93125,0.9076142131979695,480.0
Tomato___Late_blight,0.9843342036553525,0.8142548596112311,0.8912529550827423,463.0
Tomato___Leaf_Mold,0.9638297872340426,0.9638297872340426,0.9638297872340426,470.0
Tomato___Septoria_leaf_spot,0.8194726166328601,0.926605504587156,0.8697524219590959,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9244444444444444,0.9563218390804598,0.9401129943502825,435.0
Tomato___Target_Spot,0.8870292887029289,0.9277899343544858,0.906951871657754,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9565217391304348,0.9877551020408163,0.9718875502008032,490.0
Tomato___Tomato_mosaic_virus,0.9509594882729211,0.9955357142857143,0.9727371864776445,448.0
Tomato___healthy,0.9936575052854123,0.9771309771309772,0.9853249475890985,481.0
accuracy,0.9586273617118143,0.9586273617118143,0.9586273617118143,0.9586273617118143
macro avg,0.9598030202974822,0.9587536665633621,0.9586741666578561,17572.0
weighted avg,0.9598561235535163,0.9586273617118143,0.9586366416490537,17572.0
